Timestamp,Heart Rate,RR Interval
1740144344.9732192,152,0.4
1740144344.9732502,152,0.404
1740144345.9647129,152,0.404
1740144345.9647539,152,0.4
1740144345.964761,152,0.4
1740144346.954566,153,0.4
1740144346.954603,153,0.404
1740144347.943771,153,0.4
1740144347.943798,153,0.396
1740144347.9438012,153,0.404
1740144348.934088,153,0.4
1740144348.9341161,153,0.4
1740144348.934121,153,0.404
1740144349.922239,153,0.4
1740144349.922246,153,0.408
1740144350.913244,153,0.4
1740144350.913281,153,0.404
1740144350.913289,153,0.404
1740144352.893043,152,0.408
1740144352.893072,152,0.404
1740144352.893701,152,0.408
1740144352.893708,152,0.408
1740144352.893711,152,0.408
1740144353.8841548,151,0.404
1740144353.8841898,151,0.408
1740144354.875036,151,0.408
1740144354.875113,151,0.404
1740144354.8751712,151,0.412
1740144355.863049,151,0.408
1740144355.863085,151,0.408
1740144356.852365,151,0.408
1740144356.8523881,151,0.408
1740144356.852393,151,0.412
1740144357.846817,150,0.408
1740144357.8468459,150,0.408
1740144358.834336,150,0.412
1740144358.834374,150,0.408
1740144358.834382,150,0.411
1740144359.822721,150,0.408
1740144359.822774,150,0.416
1740144361.80418,150,0.412
1740144361.804213,150,0.416
1740144361.80422,150,0.408
1740144361.805123,149,0.412
1740144361.805131,149,0.42
1740144362.793091,149,0.408
1740144362.7931242,149,0.416
1740144362.793132,149,0.416
1740144363.783256,149,0.412
1740144363.7832909,149,0.416
1740144364.774789,148,0.416
1740144364.775182,148,0.416
1740144364.7751858,148,0.42
1740144365.763188,148,0.412
1740144365.7632189,148,0.416
1740144366.753342,148,0.416
1740144366.753382,148,0.412
1740144367.74366,148,0.416
1740144367.743681,148,0.412
1740144367.743686,148,0.416
1740144368.732766,148,0.412
1740144368.732799,148,0.408
1740144369.723532,149,0.408
1740144369.723565,149,0.412
1740144369.723569,149,0.404
1740144370.713802,150,0.408
1740144370.7138371,150,0.404
1740144371.703904,151,0.408
1740144371.703936,151,0.408
1740144371.7039402,151,0.412
1740144372.6943989,151,0.408
1740144372.694425,151,0.416
1740144373.684514,150,0.408
1740144373.684545,150,0.408
1740144373.684549,150,0.42
1740144374.674537,150,0.416
1740144374.67457,150,0.412
1740144375.662685,149,0.42
1740144375.662709,149,0.412
1740144375.662713,149,0.42
1740144376.654592,148,0.424
1740144376.654617,148,0.416
1740144377.643373,147,0.424
1740144377.643409,147,0.428
1740144377.6434171,147,0.42
1740144378.633861,146,0.424
1740144378.6338902,146,0.427
1740144380.612789,145,0.42
1740144380.6128252,145,0.428
1740144380.612832,145,0.42
1740144381.604488,145,0.428
1740144381.6045241,145,0.416
1740144382.594062,145,0.424
1740144382.5940962,145,0.42
1740144383.584129,145,0.424
1740144383.584158,145,0.424
1740144383.584162,145,0.42
1740144384.586741,145,0.428
1740144384.586766,145,0.424
1740144385.5628061,145,0.424
1740144385.562845,145,0.432
1740144385.562853,145,0.424
1740144386.553529,145,0.436
1740144386.5535629,145,0.424
1740144387.546342,144,0.428
1740144387.546371,144,0.432
1740144388.533696,144,0.428
1740144388.533736,144,0.424
1740144388.533744,144,0.432
1740144389.524252,144,0.428
1740144389.5242848,144,0.424
1740144390.5131688,144,0.428
1740144390.5132082,144,0.432
1740144390.513212,144,0.428
1740144391.503627,143,0.432
1740144391.5036569,143,0.436
1740144392.493921,143,0.436
1740144392.4939468,143,0.436
1740144393.4836092,141,0.444
1740144393.483642,141,0.44
